'NOFACTURA','FECHA','NOVENTA','RFCCLIENTE'
17768,30/10/14,409937,'GOCN790611G32'
17769,19/11/11,320132,'ROCN560604C37'
17770,26/04/14,54525,'GIVJ990616G57'
17771,20/11/13,169319,'COR040327VFN'
17772,09/03/17,325257,'HISM800217S42'
17773,20/08/11,281438,'HIGA770119G52'
17774,09/06/10,85565,'FRVT900625F16'
17775,24/11/10,298802,'CRGA750818G45'
17776,29/08/10,330248,'DIIA960204D42'
17777,01/05/11,134970,'GUBV570725B41'
17778,10/08/16,232449,'SALN530310L24'
17779,18/05/11,528589,'MANA870413M45'
17780,31/12/12,177014,'CAAE450523A18'
17781,01/11/15,365058,'VEMS620716M21'
17782,25/04/14,345980,'GORA610913G38'
17783,11/09/13,316641,'SAVM890604S14'
17784,22/03/12,374516,'MADM621028M14'
17785,25/10/13,328578,'GACA460517C49'
17786,24/12/15,21808,'HIMF020905HIM'
17787,26/12/11,132098,'FUCS871110FUC'
17788,27/10/15,436133,'VEMU561115M43'
17789,13/05/12,459239,'CORI040616C52'
17790,12/05/15,522917,'MOVS430914V37'
17791,12/11/14,532101,'LOVS770913V0'
17792,22/11/15,49442,'DESC600215S32'
17793,11/09/11,517650,'PEDO631102D44'
17794,10/09/12,32502,'LID030530LID'
17795,13/04/12,452054,'ROGO620517R42'
17796,30/07/11,553604,'COUD000604C10'
17797,09/12/15,479165,'ABMA690311A20'
17798,25/12/11,406654,'ALYI751018A5'
17799,01/11/14,407684,'RES000804DMC'
17800,04/04/13,108448,'ARIE911008A29'
17801,06/11/15,204741,'NEMA711011M41'
17802,16/12/12,525727,'DECA860624C54'
17803,21/02/13,157386,'MAPA810826M0'
17804,15/12/10,158402,'BUSA470215S56'
17805,05/04/11,553083,'IBSC720526S8'
17806,15/06/14,523416,'REAJ081229R17'
17807,25/08/12,500355,'PIHA880309P57'
17808,18/12/10,381449,'GAMB830228G32'
17809,21/02/15,418700,'ROGO000902R8'
17810,30/10/12,490682,'SUMM911010S15'
17811,02/10/13,266343,'FUJR871104F8'
17812,23/04/12,57502,'MOPA990730M31'
17813,08/03/14,239367,'ALMR940227A15'
17814,10/05/13,80996,'GAGL650625G17'
17815,09/09/10,52966,'BOGG990730B3'
17816,13/10/11,83884,'ALPU810812P31'
17817,10/05/10,397611,'MARM831124R14'
17818,30/06/12,12602,'HEAM001016HEA'
17819,02/03/14,9184,'ROBC050104R40'
17820,17/04/12,184177,'LUEP880711L18'
17821,12/04/16,242960,'MAGE820905M22'
17822,29/07/11,285538,'GASA710429S59'
17823,24/09/11,156354,'LODM050907L51'
17824,14/12/11,278100,'RASC920606R21'
17825,24/11/13,397449,'HIMC781123HIM'
17826,19/02/13,148700,'FRNS731004F37'
17827,03/04/12,302702,'PAAA611111A22'
17828,20/06/11,369972,'NUCL820625C8'
17829,24/03/12,370891,'MOAM670829M14'
17830,25/05/14,270246,'PAIF030216P7'
17831,24/08/12,14105,'PAJM650416PAJ'
17832,30/07/13,402584,'SARO990608SAR'
17833,27/09/15,241769,'FEMM010206F33'
17834,03/10/15,447773,'SODR791029D2'
17835,29/04/12,455344,'CAOS600605O38'
17836,06/08/13,401832,'VASI951117VAS'
17837,21/01/13,359930,'LECL641102C53'
17838,14/01/12,247769,'BRIJ471026I23'
17839,06/10/10,84042,'DEMU611025M36'
17840,26/03/13,349024,'PRBP860224P23'
17841,14/04/11,256008,'ARGI950409A31'
17842,07/04/12,238212,'MACA070714M11'
17843,23/04/16,378514,'GOGR620304G8'
17844,14/04/12,410406,'MAAA680616A45'
17845,16/11/13,120849,'MOFS620408F53'
17846,11/02/13,502323,'ARUA790212A37'
17847,18/06/10,270148,'PEFP451029F48'
17848,08/07/11,244190,'NARM850329N2'
17849,21/06/10,114997,'GARD741116G17'
17850,17/12/15,140711,'ALDM041009A32'
17851,13/01/11,240498,'ARDA460621D13'
17852,08/04/12,63670,'LEEV020821L15'
17853,18/02/10,55165,'ANPH640703P33'
17854,13/06/12,217528,'ESSM480219S21'
17855,07/06/10,167373,'RODE660323R7'
17856,07/01/15,437533,'HEHD860516H17'
17857,11/06/12,469998,'CAJP720301C48'
17858,03/09/13,269537,'RAHA800809H57'
17859,01/08/10,25626,'JILL780418J43'
17860,26/12/12,71574,'CADM610306D34'
17861,19/03/15,19614,'CRHN770220C14'
17862,23/08/13,257699,'GIAF640817G25'
17863,18/04/15,448636,'MODY640718D34'
17864,18/01/10,216220,'GOMA850219G3'
17865,14/12/13,499832,'SANL450506N24'
17866,21/04/13,164706,'CARH851031C19'
17867,05/01/12,253649,'RESM750824R52'
17868,07/05/12,533839,'SAJJ690815S16'
17869,17/09/11,555445,'GAVE680906V28'
17870,03/06/15,222154,'RELU590330L50'
17871,28/01/15,204797,'GUFA880620G15'
17872,18/03/11,268471,'MAIE830216M35'
17873,15/05/15,513172,'UBPA540710P33'
17874,19/02/12,69609,'AGCJ600811C27'
17875,08/04/10,422506,'LURT961128L25'
17876,29/08/10,143246,'LOLR030829L0'
17877,23/03/12,212398,'RUGC641002R52'
17878,08/10/14,80756,'MADP640806D12'
17879,21/03/12,276162,'DEDE770115D0'
17880,28/10/14,317811,'FRCE530911C9'
17881,27/04/12,244968,'NEMA970322N59'
17882,21/12/10,245239,'GOBA700620B38'
17883,14/02/14,391890,'LEMD871007L58'
17884,22/01/17,280934,'HECF761126H18'
17885,27/04/10,5037,'MABA691015M4'
17886,31/05/10,333072,'NAOD080320N10'
17887,12/05/11,517940,'CACS790905C48'
17888,01/11/14,230642,'CRMO010528C12'
17889,15/03/15,467404,'RERM681113R21'
17890,20/08/16,449598,'SUCA010308SUC'
17891,09/07/16,232872,'UBSD600714S50'
17892,18/10/11,197296,'SOFE810609F9'
17893,24/08/11,96386,'EMP821014YLK'
17894,28/03/14,553009,'SAGM000704S10'
17895,02/03/16,296586,'DEGJ730327G1'
17896,12/03/10,34138,'CRGM930705C55'
17897,02/04/16,526089,'CRDE560303D58'
17898,06/12/12,180035,'BOPN100920B53'
17899,24/03/12,226985,'VIRJ970720V5'
17900,13/06/14,526514,'MALA070624M18'
17901,26/02/16,99918,'BUAA530630A1'
17902,09/06/12,376415,'GASV760814G17'
17903,18/09/12,52548,'SAOA660608SAO'
17904,23/04/15,82242,'MAPY670211P43'
17905,20/03/10,166879,'DOMI060719D46'
17906,18/04/16,258342,'INS820128UMK'
17907,14/04/12,8687,'CAAM850130A38'
17908,14/02/16,415303,'JUMB661123JUM'
17909,14/11/14,447373,'ALEL020515A29'
17910,27/09/13,544625,'DOMJ501114M19'
17911,11/12/16,76756,'NESM980517N30'
17912,14/06/12,347035,'FIMA480825M47'
17913,19/06/13,526414,'JIGO610717G27'
17914,20/11/16,477704,'GAPI811117G38'
17915,14/07/13,49621,'VAAI790512V10'
17916,29/08/12,81365,'PRVE751119P37'
17917,16/01/11,99075,'BOVG041018B36'
17918,03/10/15,37983,'JOHP771227JOH'
17919,04/08/14,282613,'DEGB040327D7'
17920,30/03/11,122568,'FRMM850107F6'
17921,07/09/13,19428,'JOGJ641008J22'
17922,17/03/16,118046,'NEML561026M12'
17923,28/10/13,323821,'REPG440910P47'
17924,02/05/14,207558,'GIJR500429J23'
17925,09/05/11,404849,'VEUE870707V54'
17926,12/04/13,553226,'PIPE770427P59'
17927,16/12/10,479362,'COBG581117B16'
17928,14/06/13,47024,'PEHJ730406P35'
17929,20/03/13,473534,'RACE910409RAC'
17930,03/08/13,445281,'SAGA560922G54'
17931,23/08/16,467787,'MOMM620312M9'
17932,14/03/10,136759,'BAPE091010B35'
17933,30/06/14,235506,'SAMT600214M18'
17934,09/05/14,228353,'REMA921115R22'
17935,19/07/10,403511,'ABCA620804C44'
17936,23/04/12,201983,'GOMA650729GOM'
17937,18/02/12,119059,'ROGE981024ROG'
17938,12/06/13,41241,'CEN041125RUR'
17939,27/02/15,406051,'LOFO750712LOF'
17940,09/04/10,456977,'PRLS441031L43'
17941,20/02/12,95237,'ORHD710419O8'
17942,16/03/15,105809,'CAHL781106C21'
17943,08/02/16,325533,'DOFS661002F34'
17944,29/04/11,540978,'NULI720123L8'
23108,03/08/11,157013,'BOFJ000823BOF'
23109,17/10/11,193065,'COHS680427H4'
23110,04/07/10,151203,'GASE040820G20'
23111,20/09/14,87826,'OCDS031021O43'
23112,22/12/13,350297,'VIPA930807VIP'
23113,02/08/12,175096,'VIAG661105V28'
23114,07/12/11,137124,'CADA850808C51'
23115,06/02/17,344356,'LODR011003L54'
23116,11/10/13,147257,'YERR590425R47'
23117,29/03/13,41269,'GASA720708G6'
23118,16/01/11,184590,'SOSM850921S24'
23119,25/04/12,381121,'FUHS460417H47'
23120,04/08/16,172230,'VAMI410816M13'
23121,29/07/14,249471,'VASR730819V48'
23122,23/09/10,186406,'GOSJ910619G58'
23123,08/05/15,13343,'MAEJ860831M44'
23124,11/07/13,211488,'OLGO810125O18'
23125,24/02/15,74364,'MIRV800129M31'
23126,11/11/10,388491,'GOPJ891220G27'
23127,03/02/12,195833,'VAHJ640415H55'
23128,10/05/14,141307,'VERH690828R9'
23129,05/05/15,237654,'TIE860621TIE'
23130,19/03/16,451144,'PISO640624P20'
23131,09/01/17,545968,'COGU420329G20'
23132,18/04/15,99703,'PEGR600817G7'
23133,19/04/10,133258,'QUPF750320Q43'
23134,30/06/12,184020,'GOLI620517L49'
23135,28/05/15,234566,'LAB880511FWL'
23136,24/07/13,312458,'CADM900613C23'
23137,02/06/10,546885,'JOHC081014J10'
23138,12/07/16,132884,'JIPE741208J42'
23139,12/06/16,298767,'FEBB490705B22'
23140,28/01/11,263197,'PAN760516PAN'
23141,27/10/13,95037,'RENO880430R8'
23142,17/09/16,77095,'ORCI551018C5'
23143,25/12/12,399752,'ALOA630830O35'
23144,25/10/16,225602,'ARCH631120A22'
23145,27/12/14,395574,'ALFA440317F6'
23146,01/03/11,354483,'ABPF600409P27'
23147,29/08/16,135814,'PELA580425L36'
23148,29/04/16,111561,'MASN071104M31'
23149,16/04/13,172675,'GARD010817G0'
23150,24/06/12,202355,'JIPE821205J36'
23151,12/02/17,346380,'VACN790717C42'
23152,15/06/15,382589,'CAUA660219U28'
23153,14/08/16,171994,'CAPT610525C31'
23154,29/04/10,200745,'SASS070311S11'
23155,12/04/16,126887,'GOAE910121G43'
23156,03/05/14,286383,'MONL980317M13'
23157,05/02/15,169385,'GAVI731028V53'
23158,10/09/14,126694,'CAVJ840428C30'
23159,10/10/11,212508,'ALEL790222A56'
23160,16/06/11,208584,'MASD451025S34'
23161,28/04/11,89657,'NECA621126C24'
23162,19/01/14,429100,'CAVA810424V13'
23163,23/09/12,91027,'GURA671024R42'
23164,16/02/10,58824,'COGS701229C25'
23165,09/11/10,546788,'YESF620716Y27'
23166,04/09/10,146868,'DEHR700411H36'
23167,27/06/16,291496,'ULLA641003L40'
23168,18/10/16,234331,'ESCL431226C7'
23169,02/01/14,97678,'MAMC960507M49'
23170,05/04/16,417339,'LLRM610212R12'
23171,11/05/12,440447,'DIBR851103B55'
23172,12/04/15,517508,'FIMM060102F52'
23173,29/09/13,325461,'ULSR000425U50'
23174,06/01/13,345198,'RAVR960502R20'
23175,07/12/14,383218,'NEDN630526N43'
23176,31/01/14,468955,'ANME730107A59'
23177,09/05/10,555512,'VAAM670807A29'
23178,26/04/16,395354,'PAGG670915G22'
23179,21/11/11,465730,'AGLA491010L45'
23180,16/01/16,293733,'PARA780712R11'
23181,25/09/14,348491,'SACP640905C48'
23182,23/07/11,174382,'PRVA680905V38'
23183,21/09/15,311028,'RUGA720104R23'
23184,15/02/10,148223,'IZBE960418I3'
23185,04/01/11,72589,'ALOA830920O20'
23186,04/08/10,222002,'CAMN840407C16'
23187,13/03/10,319396,'COHM670420H46'
23188,26/05/11,20532,'ALGD840311G22'
23189,29/05/10,375996,'NEHA101108N12'
23190,01/08/14,249989,'BRSL630408S31'
23191,16/07/10,423653,'ALGS621125G41'
23192,30/01/14,162114,'MAMS851019M20'
23193,26/03/14,310107,'MADO690602D28'
23194,23/12/12,19658,'AGE990719NDB'
23195,24/11/10,126770,'PEHI881204PEH'
23196,28/06/10,307462,'DORA760625D50'
23197,23/03/10,277229,'PAMC741019PAM'
23198,23/10/15,550227,'CAUR760529U10'
23199,04/06/12,442767,'VESS511028S43'
23200,02/03/14,383818,'MOAE641009A34'
23201,21/02/10,3944,'PRAL840919A22'
23202,12/01/16,500813,'GUFD100524G0'
23203,13/05/13,410942,'GACA560804C32'
23204,20/11/12,343110,'DOMF760205DOM'
23205,12/05/13,523241,'ESC010613LDK'
23206,03/07/13,411079,'BEOR430327O3'
23207,02/06/10,534153,'GOVL750809G10'
23208,23/03/16,320915,'CAMO020827C25'
23209,16/03/12,69324,'SOMA610417S5'
23210,16/10/10,167720,'GOVE060516G57'
23211,25/08/13,181689,'ROAI440720A59'
23212,12/08/11,425919,'PIPJ490318P44'
23213,21/02/15,42112,'CHI981018TQT'
23214,19/03/14,81796,'PANA050729P59'
23215,27/04/11,114818,'AGOV900302A24'
23216,06/03/17,445071,'LODC020717L13'
23217,01/12/13,212397,'ESAK870620E55'
23218,04/12/14,561715,'VEGC831121V55'
23219,06/08/16,520291,'MAHR770811M54'
23220,28/06/14,547675,'MABV671106M31'
23221,06/10/15,266129,'IBBH950502I5'
23222,06/10/15,297774,'MANH470815N7'
23223,14/02/11,168203,'DOCA621108D36'
23224,02/10/16,360857,'LOFD700322L43'
23225,26/12/10,26688,'ARGS620804A54'
23226,09/11/12,538832,'FUDD080624F23'
23227,22/05/13,134974,'MOSD790228S44'
23228,02/08/12,222171,'NAVJ400522V59'
23229,13/05/10,152333,'SORJ490622R31'
23230,15/03/12,195678,'MASG700513M17'
23231,16/06/12,72542,'FLPJ670226P21'
23232,21/05/13,275984,'MARH030422M9'
23233,20/08/15,332587,'LUQE670810L47'
23234,21/11/12,180504,'MABD830113M17'
23235,10/10/15,502711,'JUJS711002JUJ'
23236,18/04/11,40219,'HIMV000913H18'
23237,06/06/14,431403,'SUMD621231M34'
23238,25/06/10,61036,'DOSS640704S37'
23239,16/07/13,260255,'ALMO701117M3'
23240,10/01/17,301192,'PICS020110P43'
23241,11/11/12,284464,'COIE750426C0'
23242,06/03/15,238100,'RORN700103R14'
23243,01/04/15,112225,'VICM431126C40'
23244,12/07/10,560451,'VAGC940302V0'
23245,19/03/14,938,'MARX690326R56'
23246,25/07/16,333021,'RUBA670724R25'
23247,27/06/16,499129,'DIJF701124J35'
23248,01/08/16,61768,'BAOE780113B24'
23249,21/10/14,472051,'ROHD620730R37'
23250,19/10/15,278838,'BANV680723N0'
23251,23/05/12,160227,'HIOH040825H19'
23252,31/12/13,108064,'CIG880925CIG'
23253,09/03/11,472211,'HEME410305M50'
23254,05/02/14,93171,'CRND930331C6'
23255,10/11/15,478647,'DILV030425D16'
23256,24/02/16,359703,'GASG780218GAS'
23257,21/12/12,537457,'GUVO920605G47'
23258,01/01/13,249113,'GUAE890828A8'
23259,31/07/12,41554,'DOGA871014G40'
23260,29/01/10,173403,'COM840407VLN'
23261,08/08/14,47256,'HECD721020H54'
23262,10/07/15,433887,'DUGH460428G45'
23263,19/02/16,304373,'DERY750326R55'
23264,20/11/15,300400,'DECG620502D41'
23265,11/05/11,202322,'RODI780206R11'
23266,28/11/14,40074,'ORGM680922G9'
23267,25/02/10,164378,'MASA650902S20'
23268,20/03/16,368375,'NILE910314N41'
23269,31/10/12,438529,'MAMA830528M23'
23270,30/08/13,290247,'DEAC530221A43'
23271,11/06/10,262226,'MAEC990221M27'
23272,17/07/13,130330,'CAMJ860914C36'
23273,09/12/16,304447,'RONK841023N29'
23274,06/06/12,300959,'SIGA600806G28'
23275,17/11/15,344743,'MIMJ080712M37'
23276,26/09/12,339378,'VISI920329VIS'
23277,13/10/12,424722,'SAGN630606G59'
23278,10/05/14,393630,'SASE590205S31'
23279,18/03/10,302753,'FELC621004F3'
23280,05/06/16,248330,'VIGE710616VIG'
23281,30/05/10,560136,'PACE531108C54'
23282,22/10/15,341463,'RUPE750317R33'
23283,11/08/11,359583,'PRAV000213P58'
23284,12/07/15,275263,'CRFL440325F46'
23285,02/09/13,151785,'PASY700325P9'
23286,01/10/14,45208,'PAGG050917P6'
23287,15/07/10,186443,'VAHE040916V38'
23288,22/04/11,109830,'DOBI770802D10'
23289,19/02/10,142877,'VEVG640331V24'
23290,02/05/12,383053,'DOMR520503M40'
23291,05/08/14,17287,'RODE840630D25'
23292,15/10/12,368263,'PEOT050625P8'
23293,06/06/10,354291,'SANR890521S39'
23294,03/10/16,360301,'LOMJ600612L41'
23295,27/08/13,278760,'MIS930128MIS'
23296,15/03/12,201128,'MARM430106R33'
23297,11/12/15,361025,'MUDR750322D6'
23298,04/01/14,266262,'VEFA460214F19'
23299,05/09/11,290449,'CAGR710202G7'
23300,02/11/14,277560,'ORRF610830O9'
23301,01/12/14,78603,'ALDO760907D55'
23302,03/12/13,139610,'RODM830318R43'
23303,30/04/16,362924,'GACM691128C10'
23304,09/06/12,35564,'LOAA460214A5'
1736,22/01/12,67993,'DEFA661102F8'
1737,21/03/13,541293,'ALYI751018A5'
1738,30/05/15,14866,'MOLM061027M0'
1739,28/02/11,230530,'VEFJ990616V44'
1740,10/04/13,179683,'CODS470913D46'
1741,07/07/10,149239,'PEVA870205PEV'
1742,06/02/13,308814,'MANA650422M15'
1743,15/06/15,546186,'GUMJ990707G24'
1744,31/12/10,381353,'BRRM980806BRR'
1745,28/03/15,405913,'MAAE640706A35'
1746,17/05/11,271259,'VECM840907C41'
1747,04/06/10,260050,'HECB020912H13'
1748,27/01/14,316130,'MABR430130B44'
1749,13/03/13,219165,'CAFJ501126F13'
1750,19/11/11,115273,'JIMI700728M8'
1751,18/02/12,216186,'JUN060804TWZ'
1752,14/01/10,282517,'PESC700204P2'
1753,30/10/13,248408,'VAAL791230V38'
1754,27/09/16,166854,'NAMD620217M8'
1755,24/09/11,290338,'CAVM760617V45'
1756,28/09/11,401283,'ALCM610425A23'
1757,10/10/13,554920,'CADN660606D32'
1758,18/11/10,524696,'MAPT841021M56'
1759,11/08/14,400012,'IZBA780323IZB'
1760,28/04/16,559034,'GAGA960730G17'
1761,18/01/12,27733,'NUPC911224N45'
1762,14/05/15,380019,'FEPV660523F30'
1763,11/12/11,192605,'VAPR841023V56'
1764,11/01/16,434301,'MUMD960724M22'
1765,06/11/14,159000,'PAPD720502P57'
1766,21/02/14,523744,'HOT910728HLQ'
1767,31/08/11,500690,'DUCL520921C3'
1768,16/12/15,521441,'MOPD431107P30'
1769,12/01/14,203270,'IDC860415ZQY'
1770,25/06/14,84717,'SAAA031016S14'
1771,11/02/17,528114,'COM951005ASC'
1772,30/04/11,540091,'LUCF640905C30'
1773,29/08/10,108810,'VICE700308C32'
1774,27/06/16,46841,'RAIR611024I30'
1775,26/11/11,210008,'VIGB530815G41'
1776,21/04/12,162206,'ESC970530HTC'
1777,21/07/13,233067,'CRCF790712C46'
1778,10/12/13,561772,'HISH020113H29'
1779,26/06/14,327443,'GUHA900814G4'
1780,12/04/15,327414,'RONS761107N44'
1781,03/08/13,250576,'GUGJ670509GUG'
1782,18/07/12,17479,'ORFK840203F34'
1783,26/07/10,360042,'DEAH900525A50'
1784,30/12/12,296193,'PEGH050826P38'
1785,30/03/12,413719,'RACA910308R39'
1786,15/05/16,313551,'GOPP401007P35'
1787,10/03/16,462990,'CRJJ680529J8'
1788,29/10/16,424322,'ESMX681109ESM'
1789,10/09/15,530759,'ALGS940518A38'
1790,29/07/13,548458,'PRCD600915C48'
1791,18/04/14,346662,'SAQD650518Q37'
1792,11/02/17,520237,'MABE580706B7'
1793,20/10/12,85876,'DEOJ420102O37'
1794,15/03/11,486227,'SAPJ980726S44'
1795,08/06/13,456374,'CAAN820127C57'
1796,13/01/12,483251,'NACB061224N38'
1797,18/06/12,538854,'DIRV630405R15'
1798,14/11/13,297900,'OLGH600412G6'
1799,12/06/10,139464,'RUFA451116F56'
1800,06/12/14,171600,'CLU081122FKM'
1801,25/12/14,120297,'ROCJ881006R59'
1802,16/08/12,115303,'COGF800618C36'
1803,01/03/11,368500,'JOCT620803C20'
1804,31/12/16,479202,'LOFE050614L0'
1805,14/01/12,98697,'LLAA990709L15'
1806,26/05/15,278792,'MOFR550515F57'
1807,07/06/15,94170,'HEBJ080716H11'
1808,22/10/12,85173,'BLFF610530F11'
1809,29/05/13,120702,'COVR570629V29'
1810,31/01/15,190185,'HERA411128R24'
1811,06/02/11,31409,'GOEF710822G18'
1812,29/03/14,231781,'VIAD520616A33'
1813,29/07/12,387129,'CHU871016FEJ'
1814,09/05/15,153738,'GUAN620307A59'
1815,20/05/13,225432,'CALH620206L43'
1816,09/06/16,31677,'PASA660904S34'
1817,03/10/15,295400,'VACE690824C32'
1818,02/03/16,128430,'RAMI701116R46'
1819,09/03/15,248642,'PIDM740404P20'
1820,23/10/14,272927,'MOMI770426M54'
1821,25/11/15,254149,'RESM651218RES'
1822,02/01/17,305691,'REUV501118U44'
1823,21/10/14,74183,'COR960705JMJ'
1824,30/11/10,389287,'OLGP810907O15'
1825,05/01/17,290573,'DEPG710615P22'
1826,05/07/12,32724,'MIIM521128I27'
1827,18/12/11,94585,'BUIM700922B38'
1828,14/12/14,243376,'MOAC840818A42'
1829,06/03/14,291902,'BRJT661021J32'
1830,22/03/14,288510,'DOMI711219M32'
1831,02/12/15,244785,'ROMI880916R49'
1832,26/08/14,237123,'VAHD571111H5'
1833,06/12/16,220779,'VACT920917V46'
1834,25/08/13,535782,'ALMM790321A59'
1835,31/03/10,18352,'DEMA840909M12'
1836,05/12/16,398795,'FEBC861115B17'
1837,23/02/13,43282,'LOML560719M25'
1838,17/03/11,17790,'MARE851025M59'
1839,23/12/16,275009,'ALSM860712S25'
1840,06/03/14,42973,'CANA791129C0'
1841,11/01/11,294136,'LESI881127S45'
1842,26/11/15,225932,'GUGJ910814G43'
1843,07/10/14,282560,'BRPJ600409P52'
1844,08/08/15,270982,'NAHA920120N16'
1845,08/03/13,197167,'CAEA631124E54'
1846,10/10/12,374545,'BOOE960510B54'
1847,28/06/10,396565,'HEOM770223H10'
1848,01/09/16,525446,'ROET791016R39'
1849,06/12/16,142361,'PIVE891016P19'
1850,04/09/13,318335,'VIMR920607V48'
1851,01/07/11,316559,'VICB990212V43'
1852,12/01/15,340384,'NAPI800204P39'
1853,21/04/13,308628,'FELL620418L8'
1854,06/05/15,13405,'COII621109I57'
1855,08/01/17,420080,'CADA940709C7'
1856,19/05/10,174235,'DEMM841216M21'
1857,21/04/13,162224,'GUML960511G28'
1858,27/05/13,384543,'IBSA650627S53'
1859,01/03/11,250693,'MOMM490911M14'
1860,15/06/16,487039,'VEMG810906V58'
1861,28/08/16,151844,'VILG750416L14'
1862,25/02/16,32253,'DOGG630803D46'
1863,26/11/12,96308,'SOMA640307S23'
1864,18/09/12,278874,'SOFN990423SOF'
1865,27/06/15,377359,'ROAP660317A5'
1866,16/03/16,147353,'MOSJ530826S56'
1867,04/03/16,10956,'GAFP971202G53'
1868,12/12/15,412212,'COLM760602C16'
1869,09/07/12,271358,'FUDV540811D38'
1870,04/01/16,257273,'DELU670730L18'
1871,06/05/11,399637,'MABF870504M31'
1872,18/04/16,334285,'SAOA040610S45'
1873,09/07/11,119906,'DORR470129R16'
1874,19/12/14,330520,'HIAV770718A9'
1875,18/12/10,201148,'SOPL701004P10'
1876,18/02/10,22368,'SOMA520826M46'
1877,07/06/13,519458,'LOHF920918L22'
1878,24/09/14,443704,'PAAL450623A23'
1879,10/07/12,340147,'GOMA560218M38'
1880,07/03/11,99598,'ROAJ630205R20'
1881,15/03/10,544630,'PARL550824R21'
1882,24/04/13,156409,'ALML750414A28'
1883,31/01/15,73711,'BUSE440321S29'
1884,15/03/10,542284,'GURG941125G11'
1885,02/07/14,63751,'GUBC401127B11'
1886,06/10/10,214600,'ALRM420703R30'
1887,20/03/15,279986,'ROME911104R57'
1888,23/08/12,451976,'MOOA670920M13'
1889,08/01/13,153959,'GAPR670206P16'
1890,08/03/10,425619,'PAHF960211P17'
1891,27/02/15,342989,'POAU650627P59'
1892,17/10/10,241849,'MANT740526M18'
1893,06/01/17,88525,'LUGM860410G15'
1894,06/02/10,338712,'VAGR640808G23'
1895,28/01/14,22273,'REGN550630G8'
1896,11/06/12,254055,'RAVE620830R3'
1897,17/08/10,164874,'SAPJ710902SAP'
1898,22/12/14,417529,'ZIM070410ZIM'
1899,17/04/13,83354,'YELE830215L31'
1900,01/02/14,508442,'GILF661206L14'
1901,02/05/17,430186,'SUVP780409S17'
1902,23/09/11,72593,'GIAP851004A41'
1903,26/12/12,345312,'SAGJ091019S12'
1904,05/08/15,136039,'EPO860404EPO'
1905,23/04/12,288475,'MABJ830207B34'
1906,02/11/15,170792,'SOLD850922L37'
1907,20/01/12,42243,'HISJ101027H53'
1908,30/10/12,174755,'ULAD670427A15'
1909,02/04/12,342838,'ALVA430502V49'
1910,03/03/10,331284,'DEHO800924D21'
1911,29/10/12,438788,'ALLN840302ALL'
1912,26/11/13,269891,'MALM611007L37'
1913,21/09/10,533983,'HELM640312H6'
1914,11/03/10,123895,'MAGA911112M5'
1915,21/12/10,560105,'ALRF560122R10'
1916,31/03/16,325532,'GALF740614L36'
1917,09/11/10,17103,'NAML630815M32'
1918,25/04/12,398485,'DEGM880912G18'
1919,15/05/10,278495,'MOVE630823V17'
1920,16/07/14,138754,'COCL880507C38'
1921,18/12/10,23597,'LOEM040508L33'
1922,04/12/16,159873,'LUCA520404C54'
1923,25/06/10,550890,'BOCL720322BOC'
1924,19/04/14,444,'MOVI880619M24'
1925,19/02/10,189615,'VEML530311M34'
1926,15/04/14,435206,'VAAN600320A42'
1927,28/03/12,224662,'NESL670110S53'
1928,19/11/10,136236,'MOPS791014P36'
1929,05/07/12,379783,'HESE810219S15'
1930,04/02/15,266270,'GUGR540130G8'
1931,17/04/13,538882,'ALFJ851104A3'
1932,23/05/15,342304,'ALOI790426A59'
1933,27/04/14,364243,'VEOE870223O35'
1934,26/05/11,217834,'BAVE670201V8'
1935,17/05/12,167903,'FELJ811229F14'
1936,06/04/12,400185,'SUAE430809A21'
1937,15/05/15,254652,'PAHV690131P30'
4975,02/02/14,206166,'MOPR990407M49'
4976,09/09/14,210105,'GULA461006L47'
4977,15/10/13,369811,'RAMS820529R36'
4978,25/08/14,433010,'PIIR641107I30'
4979,13/02/14,490236,'MODM641111D19'
4980,07/10/16,482098,'SASM750820SAS'
4981,09/02/13,343704,'PEGM681012G41'
4982,09/08/10,349294,'CABN570325B23'
4983,05/04/16,427571,'JULR880208J52'
4984,13/02/14,369911,'NENA410519N58'
4985,23/02/10,286838,'PRVE080527P20'
4986,10/04/16,349304,'DERH880125R37'
4987,25/08/12,171742,'ALEC940119ALE'
4988,30/04/13,271939,'GUCT680928G7'
4989,22/05/12,381226,'DIPX450602P20'
4990,29/01/10,24561,'VIHB550521H9'
4991,05/10/14,138044,'OLMU590407M16'
4992,13/05/12,139377,'NASM870422S1'
4993,08/07/16,296327,'MAVM660103V13'
4994,21/04/17,440843,'PEBR860718P28'
4995,01/07/13,118520,'VIOE630720O43'
4996,13/08/11,219456,'ROCI740525R6'
4997,04/02/16,411646,'LIFI780501L13'
4998,20/07/14,424537,'CAMC651020M22'
4999,21/11/15,543929,'SAMM790714S17'
5000,23/08/14,486290,'MACM870518M17'
5001,18/10/13,85172,'CABM730122C45'
5002,28/12/14,27441,'GOHJ760315H12'
5003,28/07/11,34804,'ZUPP540506P45'
5004,10/07/10,239865,'UBAJ880115U36'
5005,11/11/14,160939,'VAJR840627V36'
5006,06/03/13,254007,'ALJU600323J32'
5007,27/08/12,772,'PEPR580413P45'
5008,28/03/12,31865,'PEDA421017D51'
5009,18/05/11,291804,'ZUPU500205P33'
